CH1	-84.00	-35.00	47.00
CH2	-75.00	-60.00	51.00
CH3	-60.00	-80.00	54.00
CH4	-39.00	-95.00	56.00
CH5	-13.00	-101.00	56.00
CH6	15.00	-101.00	56.00
CH7	39.00	-92.00	56.00
CH8	60.00	-77.00	53.00
CH9	72.00	-55.00	50.00
CH10	80.00	-30.00	47.00
CH11	-87.00	-24.00	33.00
CH12	-83.00	-51.00	38.00
CH13	-71.00	-75.00	40.00
CH14	-52.00	-94.00	43.00
CH15	-27.00	-104.00	44.00
CH16	1.00	-108.00	44.00
CH17	28.00	-103.00	43.00
CH18	52.00	-92.00	41.00
CH19	69.00	-72.00	37.00
CH20	80.00	-47.00	35.00
CH21	82.00	-21.00	32.00
CH22	-88.00	-40.00	21.00
CH23	-78.00	-66.00	24.00
CH24	-63.00	-89.00	28.00
CH25	-41.00	-105.00	30.00
CH26	-14.00	-112.00	30.00
CH27	16.00	-112.00	30.00
CH28	41.00	-103.00	32.00
CH29	63.00	-86.00	28.00
CH30	77.00	-62.00	26.00
CH31	85.00	-36.00	20.00
CH32	-89.00	-29.00	4.00
CH33	-84.00	-56.00	8.00
CH34	-72.00	-80.00	12.00
CH35	-54.00	-101.00	15.00
CH36	-28.00	-114.00	17.00
CH37	1.00	-117.00	17.00
CH38	30.00	-113.00	16.00
CH39	54.00	-99.00	14.00
CH40	71.00	-78.00	11.00
CH41	82.00	-52.00	8.00
CH42	86.00	-26.00	4.00
CH43	-89.00	-45.00	-9.00
CH44	-78.00	-70.00	-5.00
CH45	-64.00	-94.00	-2.00
CH46	-42.00	-112.00	1.00
CH47	-14.00	-120.00	2.00
CH48	16.00	-119.00	2.00
CH49	42.00	-110.00	1.00
CH50	64.00	-91.00	-0.00
CH51	78.00	-68.00	-7.00
CH52	88.00	-41.00	-8.00
