CH1	-89.00	-44.00	-2.00
CH2	-88.00	-15.00	-4.00
CH3	-86.00	15.00	-6.00
CH4	-78.00	41.00	-8.00
CH5	-85.00	-56.00	13.00
CH6	-89.00	-28.00	11.00
CH7	-86.00	1.00	9.00
CH8	-83.00	29.00	8.00
CH9	-71.00	55.00	6.00
CH10	-88.00	-40.00	27.00
CH11	-87.00	-12.00	26.00
CH12	-84.00	17.00	24.00
CH13	-76.00	41.00	19.00
CH14	-82.00	-51.00	41.00
CH15	-87.00	-25.00	37.00
CH16	-83.00	3.00	38.00
CH17	-77.00	28.00	36.00
CH18	-63.00	49.00	35.00
CH19	-82.00	-35.00	53.00
CH20	-80.00	-9.00	53.00
CH21	-74.00	17.00	50.00
CH22	-66.00	37.00	45.00
