CH1	72.00	41.00	-11.00
CH2	83.00	16.00	-10.00
CH3	85.00	-14.00	-8.00
CH4	88.00	-43.00	-6.00
CH5	66.00	53.00	5.00
CH6	77.00	29.00	4.00
CH7	84.00	2.00	6.00
CH8	86.00	-27.00	8.00
CH9	81.00	-53.00	12.00
CH10	71.00	41.00	19.00
CH11	81.00	17.00	19.00
CH12	83.00	-11.00	22.00
CH13	85.00	-38.00	22.00
CH14	61.00	48.00	32.00
CH15	74.00	29.00	32.00
CH16	80.00	4.00	35.00
CH17	82.00	-23.00	30.00
CH18	79.00	-48.00	37.00
CH19	62.00	36.00	46.00
CH20	73.00	17.00	45.00
CH21	77.00	-8.00	48.00
CH22	79.00	-32.00	49.00
